who_id,WHO,Relationship,Entity,WHAT,WHY
4,Data user,process,deletions ,process deletions for 12-19-2017,
9,UI designer,redesign,Resources page ,redesign the Resources page,it matches the new Broker design styles.
9,UI designer,report,Agencies ,report to the Agencies about user testing,they are aware of their contributions to making Broker a better UX.
9,UI designer,move,DABS or FABS landing page edits ,move on to the round 2 of DABS or FABS landing page edits,get approvals from leadership.
9,UI designer,move,Homepage edits ,move on to the round 2 of Homepage edits,get approvals from leadership.
9,UI designer,move,Help page edits ,move on to the Help page edits on 3rd round,get approvals from leadership.
5,developer,log,events / activities ,log events/activities better,troubleshoot issues with particular submissions and functions.
5,developer,update,FABS submission page ,update the FABS submission page when the publishStatus changes,know when the status of the submission has changed.
9,UI designer,move,Help page edits ,move on to the round 2 of the Help page edits,get approvals from leadership.
3,Broker user,upload,error message ,Upload the error message to have accurate text,
3,Broker user,validate,uploaded error message ,Validate the uploaded error message to have accurate text,
3,Broker user,sync,D1 file generation ,sync D1 file generation with FPDS data load,don't have to regenerate a file if no data has been updated.
11,Website user,access,published FABS files ,access published FABS files,see the new files as they come in.
7,owner,ensure,USAspending ,ensure that the USAspending only send grant records to my system,
5,developer,update,Broker validation rule table ,update the Broker validation rule table to account for the rule updates in DB-2213,
5,developer,add,GTAS window data ,add the GTAS window data to the database,ensure the site is locked down during the GTAS submission period.
5,developer,cache,D Files generation requests ,cache D Files generation requests,duplicate requests do not cause performance issues.
5,developer,manage,D Files generation requests ,manage D Files generation requests,duplicate requests do not cause performance issues.
10,user,access,raw agency 's published files ,access the raw agency's published files from FABS via USAspending,
1,agency user,include,huge flexfields count ,include huge flexfields count without performance impact,
3,Broker user,help,content mockups ,help create content mockups,submit my data efficiently.
9,UI designer,track,Tech Thursday 's issues ,track the Tech Thursday's issues,know what to test and what wants to be fixed.
7,owner,create,user testing summary ,create a user testing summary from the UI SME,know what UI improvements we will follow through on.
9,UI designer,begin,user testing ,begin user testing,validate stakeholder UI improvement requests.
9,UI designer,schedule,user testing ,schedule user testing,give the testers advanced notice to ensure buy-in.
7,owner,design,schedule ,design a schedule from the UI SME,know the potential timeline of the UI improvements wanted.
7,owner,design,audit ,design an audit from the UI SME,know the potential scope of the UI improvements wanted.
5,developer,prevent,double publishing FABS submissions ,prevent double publishing FABS submissions after refreshing by users,there are no duplicates.
4,data user,receive,FABS records ' updates ,receive FABS records' updates,
5,developer,update,FABS sample file ,update the FABS sample file to remove FundingAgencyCode after FABS is updated to no longer require the header,
1,agency user,ensure,FSRS records ,ensure that deleted FSRS records are not included in submissions,
11,website user,see,updated financial assistance data ,see updated financial assistance data daily,
10,user,deactivate,publish button ,deactivate the publish button in FABS after I click it while the derivations are happening,multiple clicks are not permitted.
5,developer,certify,attempts ,certify the attempts to correct or delete non-existent records,they don't create new published data.
7,owner,reset,environment ,reset the environment to only take Staging MAX permissions,ensure that the FABS testers no longer have access.
10,user,obtain,PPoPCode data ,obtain PPoPCode data,ensure that they are accurate and complete.
10,user,obtain,PPoPCongressionalDistrict data ,obtain PPoPCongressionalDistrict data,ensure that they are accurate and complete.
1,agency user,create,FABS validation rules ,create FABS validation rules,zero and blank for non-loan records can be accepted.
1,agency user,deploy,FABS ,deploy FABS into production,submit my Financial Assistance data.
5,developer,see,activities ,see the activities triggering the CFDA error code for each case,clarify it to users.
1,agency user,view,accuracy ,view the accuracy of the SAM - data,
5,developer,,to properly index domain models ,properly index domain models,validation results could be obtained in a reasonable amount of time.
1,agency user,derive,data elements ,derive data elements,ensure they are accurate.
2,broker team member,add,00FORGN PPoPCode cases ,add the 00***** and 00FORGN PPoPCode cases to the derivation logic,
4,data user,see,office names ,see the office names derived from office codes,have appropriate context for understanding them.
3,Broker user,derive,fields ,derive fields using the historical FABS loader,my agency codes are correct in the PublishedAwardFinancialAssistance table.
2,broker team member,ensure,Broker resources ,ensure the Broker resources are updated appropriately for the launch of FABS and DAIMS v1.1,
2,broker team member,ensure,validations ,ensure validations are updated appropriately for the launch of FABS and DAIMS v1.1,
2,broker team member,ensure,P&P pages ,ensure P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1,
5,developer,include,FREC derivations ,include FREC derivations in data loaded from historical FABS,have consistent FREC data for USASpending.gov.
10,user,view,grants ,view all grants displayed as contracts except NASA grants,
10,user,ensure,records ,"ensure records whose ActionTypes are B, C, or D and the DUNS is registered in SAM",they are accepted by DUNS validations.
10,user,ensure,records ,"ensure records whose ActionDates are before the current registration date in SAM, but after the initial registration date",they are accepted by DUNS validations.
2,broker team member,derive,FundingAgencyCode ,derive FundingAgencyCode,the data quality and completeness improves.
1,agency user,ensure,LegalEntityAddressLine3 matches ,ensure that the maximum length allowed for LegalEntityAddressLine3 matches with the Schema v1.1,
1,agency user,use,schema ,use the schema v1.1 headers in my FABS file,
1,agency user,map,FederalActionObligation ,map the FederalActionObligation properly to the Atom Feed,
3,Broker user,,similar functionality ,similar functionality for PPoPZIP+4 and Legal Entity ZIP validations,
6,FABS user,link,SAMPLE FILE ,"link the SAMPLE FILE on the ""What you want  to submit"" dialog to point to the correct file",have an accurate reference for my agency submissions.
1,agency user,update,updated FPDS data ,updated FPDS data daily,
10,user,access,raw agency 's published files ,access the raw agency's published files from FABS via USAspending,
5,developer,determine,agencies ,determine how agencies will generate and validate D Files from FABS and FPDS data,
10,user,generate,D Files ,generate D Files from FABS and FPDS data,
10,user,validate,generated D Files ,validate the generated D Files from FABS and FPDS data,
1,agency user,display,updated date - time ,displayed updated date-time in the header information box,know when it was updated.
1,agency user,receive,detailed file - level error ,receive detailed file-level error when I upload a file with the wrong extension,
8,tester,access,test features ,access test features in environments other than Staging,test any nonProd feature in any environment.
6,FABS user,access,accurate reflection ,accurate reflection of frontend URLs in the page I'm accessing,am not confused.
1,agency user,load,historical Financial Assistance data ,load all historical Financial Assistance data for FABS before go-live,
5,developer,include,historical data ,include both extracted historical data and FPDS feed data using the historical FPDS data loader,
